Date,Open,High,Low,Oil_Close,Adj Close**,Volume
30-Aug-22,96.9,97.66,90.54,91.64,91.64,"386,272"
29-Aug-22,92.96,97.37,92.29,97.01,97.01,"283,463"
26-Aug-22,93.06,94.02,91.08,93.06,93.06,"288,392"
25-Aug-22,95.35,95.76,92.29,92.52,92.52,"279,877"
24-Aug-22,93.78,95.4,92.79,94.89,94.89,"320,388"
23-Aug-22,90.55,94.22,90.42,93.74,93.74,"285,607"
22-Aug-22,89.65,91.26,86.6,90.23,90.23,"352,665"
19-Aug-22,90.39,92.09,88.38,90.77,90.77,"58,714"
18-Aug-22,87.39,91.46,87.32,90.5,90.5,"80,029"
17-Aug-22,87.1,89.16,85.88,88.11,88.11,"230,346"
16-Aug-22,87.93,90.65,85.73,86.53,86.53,"305,366"
15-Aug-22,91.94,92.1,86.82,89.41,89.41,"275,443"
12-Aug-22,94.09,94.81,91.16,92.09,92.09,"264,953"
11-Aug-22,91.55,95.05,91.24,94.34,94.34,"341,234"
10-Aug-22,90.51,92.43,87.66,91.93,91.93,"383,766"
9-Aug-22,90.69,92.65,89.05,90.5,90.5,"347,045"
8-Aug-22,88.46,90.89,87.22,90.76,90.76,"340,157"
5-Aug-22,88.06,90.76,87.01,89.01,89.01,"350,016"
4-Aug-22,90.95,91.9,87.55,88.54,88.54,"334,931"
3-Aug-22,93.83,96.57,90.38,90.66,90.66,"395,099"
2-Aug-22,93.75,96.47,92.59,94.42,94.42,"328,538"
1-Aug-22,98.46,98.65,92.42,93.89,93.89,"365,293"
29-Jul-22,97.3,101.88,96.41,98.62,98.62,"349,374"
28-Jul-22,98.17,99.84,96.04,96.42,96.42,"318,403"
27-Jul-22,95.6,98.59,94.3,97.26,97.26,"321,903"
26-Jul-22,96.33,99,94.76,94.98,94.98,"310,043"
25-Jul-22,95.1,96.94,93.01,96.7,96.7,"278,998"
22-Jul-22,96.51,97.95,94.23,94.7,94.7,"307,568"
21-Jul-22,99.91,99.99,94.59,96.35,96.35,"318,911"
20-Jul-22,103.6,104.39,101.51,102.26,102.26,"315,620"
19-Jul-22,102,104.46,99.85,104.22,104.22,"63,149"
18-Jul-22,97.27,102.8,95.85,102.6,102.6,"84,669"
15-Jul-22,96.39,99.03,94.57,97.59,97.59,"240,766"
14-Jul-22,96.57,97,90.56,95.78,95.78,"387,528"
13-Jul-22,95.89,97.96,93.67,96.3,96.3,"347,193"
12-Jul-22,103.46,103.49,95.35,95.84,95.84,"398,552"
11-Jul-22,104.79,105.05,100.89,104.09,104.09,"348,566"
8-Jul-22,102.22,105.24,101.51,104.79,104.79,"327,461"
7-Jul-22,98.22,104.48,96.57,102.73,102.73,"379,861"
6-Jul-22,100.36,102.14,95.1,98.53,98.53,"444,106"
5-Jul-22,108.8,111.45,97.43,99.5,99.5,"594,215"
4-Jul-22,-,-,-,-,-,-
1-Jul-22,106.01,109.34,104.56,108.43,108.43,"305,338"
30-Jun-22,109.7,110.45,105.1,105.76,105.76,"362,890"
29-Jun-22,111.86,114.05,109.22,109.78,109.78,"322,060"
28-Jun-22,110.18,112.22,109.62,111.76,111.76,"306,748"
27-Jun-22,107.22,110.54,105.6,109.57,109.57,"282,914"
24-Jun-22,103.99,108.58,103.64,107.62,107.62,"321,591"
23-Jun-22,104.42,107.05,102.32,104.27,104.27,"346,362"
22-Jun-22,109.54,109.76,101.53,106.19,106.19,"432,724"
21-Jun-22,110.58,112.47,108.72,110.65,110.65,"427,262"
20-Jun-22,110.58,110.95,108.72,110.27,110.27,"103,149"
17-Jun-22,117.08,118.97,108.25,109.56,109.56,"103,149"
16-Jun-22,115.98,118.08,112.31,117.59,117.59,"162,543"
15-Jun-22,119.07,119.61,114.6,115.31,115.31,"301,750"
14-Jun-22,121.09,123.68,116.62,118.93,118.93,"366,320"
13-Jun-22,120.19,122.25,117.47,120.93,120.93,"372,403"
10-Jun-22,121.46,122.75,118.33,120.67,120.67,"352,906"
9-Jun-22,122.43,122.72,120.79,121.51,121.51,"293,295"
8-Jun-22,119.79,123.18,119.3,122.11,122.11,"340,591"
7-Jun-22,119.1,120.36,117.14,119.41,119.41,"341,694"
6-Jun-22,120.82,120.99,117.63,118.5,118.5,"246,825"
3-Jun-22,117.55,120.46,115.23,118.87,118.87,"240,831"
2-Jun-22,114.8,117.77,111.2,116.87,116.87,"327,600"
1-Jun-22,115.4,117.87,114.58,115.26,115.26,"290,530"
31-May-22,114.96,119.98,114.15,114.67,114.67,"440,796"
30-May-22,-,-,-,-,-,-
27-May-22,114.2,115.3,112.85,115.07,115.07,"217,281"
26-May-22,110.69,114.83,110.27,114.09,114.09,"234,752"
25-May-22,110.39,111.68,109.23,110.33,110.33,"191,370"
24-May-22,110.41,111.43,108.61,109.77,109.77,"224,794"
23-May-22,110.56,111.96,109.15,110.29,110.29,"215,623"
20-May-22,111.45,114.04,110.85,113.23,113.23,"229,930"
19-May-22,109.09,112.62,105.13,112.21,112.21,"68,511"
18-May-22,113.66,115.42,108.46,109.59,109.59,"103,669"
17-May-22,113.87,115.56,111.75,112.4,112.4,"252,630"
16-May-22,110.98,114.9,108.11,114.2,114.2,"289,127"
13-May-22,106.65,110.64,106.29,110.49,110.49,"240,989"
12-May-22,105.63,107.37,102.66,106.13,106.13,"323,547"
11-May-22,99,106.44,98.2,105.71,105.71,"382,701"
10-May-22,102.65,104.16,98.86,99.76,99.76,"389,750"
9-May-22,110.43,110.49,102.13,103.09,103.09,"368,183"
6-May-22,108.7,111.18,107.24,109.77,109.77,"294,278"
5-May-22,107.58,111.37,106.45,108.26,108.26,"286,916"
4-May-22,103.5,108.61,102.95,107.81,107.81,"272,909"
