Date,Open,High,Low,Gold_Close,Adj Close**,Volume
30-Aug-22,"1,736.40","1,739.00","1,720.70",1723.2,"1,723.20",385
29-Aug-22,"1,732.40","1,741.20","1,732.10",1736.6,"1,736.60",950
26-Aug-22,"1,754.00","1,755.00","1,736.10",1736.1,"1,736.10",202
25-Aug-22,"1,761.60","1,761.80","1,755.00",1757.7,"1,757.70",172
24-Aug-22,"1,745.00","1,751.80","1,743.60",1747.8,"1,747.80",187
23-Aug-22,"1,738.00","1,748.90","1,731.90",1746.8,"1,746.80",509
22-Aug-22,"1,740.50","1,740.50","1,726.50",1734,"1,734.00",347
19-Aug-22,"1,753.70","1,754.30","1,747.50",1747.6,"1,747.60",49
18-Aug-22,"1,762.90","1,762.90","1,753.40",1755.3,"1,755.30",321
17-Aug-22,"1,769.70","1,769.70","1,760.00",1760.3,"1,760.30",23
16-Aug-22,"1,777.40","1,777.40","1,771.40",1773.2,"1,773.20",308
15-Aug-22,"1,799.00","1,799.00","1,774.70",1781.4,"1,781.40",64
12-Aug-22,"1,786.30","1,800.40","1,784.30",1798.6,"1,798.60",187
11-Aug-22,"1,794.30","1,794.30","1,785.70",1789.7,"1,789.70","1,235"
10-Aug-22,"1,804.40","1,804.90","1,787.80",1795.6,"1,795.60",601
9-Aug-22,"1,790.00","1,796.10","1,789.00",1794,"1,794.00",249
8-Aug-22,"1,771.80","1,786.80","1,771.80",1786.8,"1,786.80",127
5-Aug-22,"1,791.20","1,791.40","1,764.20",1772.9,"1,772.90",645
4-Aug-22,"1,769.40","1,792.10","1,767.70",1788.5,"1,788.50",285
3-Aug-22,"1,756.70","1,770.50","1,753.00",1758,"1,758.00",399
2-Aug-22,"1,772.10","1,786.60","1,759.40",1771.1,"1,771.10","1,078"
1-Aug-22,"1,763.90","1,772.50","1,756.10",1769,"1,769.00",705
29-Jul-22,"1,754.00","1,765.70","1,750.00",1762.9,"1,762.90","3,485"
28-Jul-22,"1,732.30","1,755.00","1,732.00",1750.3,"1,750.30","37,236"
27-Jul-22,"1,719.10","1,719.10","1,719.10",1719.1,"1,719.10","144,865"
26-Jul-22,"1,718.00","1,718.00","1,717.70",1717.7,"1,717.70",1
25-Jul-22,"1,727.00","1,732.00","1,719.00",1719,"1,719.00",67
22-Jul-22,"1,713.30","1,735.00","1,713.00",1727.1,"1,727.10",61
21-Jul-22,"1,687.00","1,715.50","1,679.80",1712.7,"1,712.70",183
20-Jul-22,"1,707.10","1,708.50","1,699.50",1699.5,"1,699.50",130
19-Jul-22,"1,712.30","1,714.40","1,706.10",1710,"1,710.00","1,684"
18-Jul-22,"1,712.20","1,712.40","1,709.20",1709.2,"1,709.20",264
15-Jul-22,"1,705.40","1,709.70","1,701.10",1702.4,"1,702.40",721
14-Jul-22,"1,710.30","1,710.50","1,704.50",1704.5,"1,704.50","1,289"
13-Jul-22,"1,710.00","1,734.20","1,710.00",1734.2,"1,734.20",368
12-Jul-22,"1,734.20","1,735.50","1,723.30",1723.3,"1,723.30",451
11-Jul-22,"1,732.50","1,736.70","1,730.00",1730,"1,730.00",75
8-Jul-22,"1,738.10","1,749.30","1,732.10",1740.6,"1,740.60",370
7-Jul-22,"1,745.20","1,745.20","1,737.00",1737.9,"1,737.90","1,869"
6-Jul-22,"1,762.50","1,768.00","1,734.00",1734.9,"1,734.90","1,729"
5-Jul-22,"1,805.40","1,805.40","1,761.80",1761.8,"1,761.80",64
4-Jul-22,-,-,-,-,-,-
1-Jul-22,"1,795.50","1,806.10","1,791.60",1798.9,"1,798.90",77
30-Jun-22,"1,809.60","1,817.30","1,801.00",1804.1,"1,804.10",328
29-Jun-22,"1,818.30","1,830.30","1,812.80",1813.7,"1,813.70",173
28-Jun-22,"1,824.20","1,826.00","1,817.50",1817.5,"1,817.50",391
27-Jun-22,"1,830.50","1,830.70","1,819.90",1820.9,"1,820.90",77
24-Jun-22,"1,820.50","1,826.50","1,815.80",1826.5,"1,826.50",61
23-Jun-22,"1,835.50","1,841.20","1,825.70",1825.7,"1,825.70",9
22-Jun-22,"1,829.50","1,842.70","1,821.60",1834.3,"1,834.30",115
21-Jun-22,"1,835.30","1,838.60","1,830.10",1834.6,"1,834.60",216
20-Jun-22,-,-,-,-,-,-
17-Jun-22,"1,853.70","1,853.70","1,833.60",1835.6,"1,835.60",170
16-Jun-22,"1,819.20","1,850.60","1,814.90",1845.7,"1,845.70",136
15-Jun-22,"1,814.10","1,839.00","1,810.80",1815.3,"1,815.30",108
14-Jun-22,"1,825.00","1,825.50","1,805.30",1809.5,"1,809.50",536
13-Jun-22,"1,873.80","1,873.80","1,818.70",1828,"1,828.00",127
10-Jun-22,"1,842.70","1,875.60","1,823.90",1871.5,"1,871.50","1,490"
9-Jun-22,"1,846.10","1,850.10","1,837.90",1848.8,"1,848.80",159
8-Jun-22,"1,844.80","1,855.00","1,844.40",1851.9,"1,851.90",218
7-Jun-22,"1,836.90","1,851.60","1,835.00",1847.5,"1,847.50","1,168"
6-Jun-22,"1,849.00","1,854.10","1,839.20",1839.2,"1,839.20",142
3-Jun-22,"1,867.60","1,871.80","1,845.40",1845.4,"1,845.40",53
2-Jun-22,"1,845.40","1,868.70","1,842.10",1866.5,"1,866.50",551
1-Jun-22,"1,831.00","1,847.90","1,825.30",1843.3,"1,843.30","1,623"
31-May-22,"1,850.30","1,862.10","1,832.80",1842.7,"1,842.70","4,073"
30-May-22,-,-,-,-,-,-
27-May-22,"1,848.30","1,860.70","1,845.90",1851.3,"1,851.30","30,091"
26-May-22,"1,840.40","1,847.40","1,840.40",1847.4,"1,847.40","123,355"
25-May-22,"1,846.20","1,846.20","1,846.20",1846.2,"1,846.20",-
24-May-22,"1,852.50","1,867.00","1,852.50",1865.1,"1,865.10",33
23-May-22,"1,846.30","1,863.00","1,845.80",1847.8,"1,847.80",216
20-May-22,"1,839.10","1,841.80","1,836.30",1841.8,"1,841.80",110
19-May-22,"1,810.90","1,841.20","1,810.70",1841.2,"1,841.20",138
18-May-22,"1,815.00","1,819.70","1,805.00",1815.9,"1,815.90",311
17-May-22,"1,824.90","1,828.60","1,816.70",1818.2,"1,818.20",121
16-May-22,"1,790.50","1,813.50","1,787.00",1813.5,"1,813.50",34
13-May-22,"1,825.00","1,825.00","1,807.40",1807.4,"1,807.40",335
12-May-22,"1,849.80","1,851.90","1,822.20",1823.8,"1,823.80",153
11-May-22,"1,841.50","1,852.60","1,841.00",1852.6,"1,852.60",892
10-May-22,"1,839.90","1,839.90","1,839.90",1839.9,"1,839.90","1,540"
9-May-22,"1,866.60","1,867.50","1,854.00",1857.1,"1,857.10",304
6-May-22,"1,874.70","1,890.30","1,871.50",1881.2,"1,881.20",214
5-May-22,"1,897.00","1,904.30","1,874.00",1874,"1,874.00",80
4-May-22,"1,867.00","1,867.00","1,867.00",1867,"1,867.00",1
3-May-22,"1,868.80","1,868.80","1,868.80",1868.8,"1,868.80",466
2-May-22,"1,896.70","1,896.80","1,853.00",1861.8,"1,861.80",385
29-Apr-22,"1,902.70","1,918.20","1,902.40",1909.3,"1,909.30",132
28-Apr-22,"1,883.80","1,893.00","1,872.90",1888.7,"1,888.70",513
27-Apr-22,"1,897.80","1,900.60","1,882.20",1885.9,"1,885.90","1,786"
26-Apr-22,"1,900.50","1,909.10","1,894.00",1901.4,"1,901.40",302
25-Apr-22,"1,925.00","1,925.00","1,889.30",1893.2,"1,893.20",748
22-Apr-22,"1,949.60","1,950.40","1,930.20",1931,"1,931.00",178
21-Apr-22,"1,942.50","1,944.90","1,942.50",1944.9,"1,944.90",4
20-Apr-22,"1,945.50","1,953.60","1,945.50",1952.3,"1,952.30",621
19-Apr-22,"1,973.80","1,978.30","1,945.70",1955.7,"1,955.70",130
18-Apr-22,"1,973.40","1,997.10","1,972.80",1982.9,"1,982.90",196
14-Apr-22,"1,977.20","1,978.70","1,963.00",1970.9,"1,970.90",101
13-Apr-22,"1,969.50","1,981.00","1,969.50",1981,"1,981.00",204
12-Apr-22,"1,952.50","1,977.10","1,950.60",1972.1,"1,972.10",246
11-Apr-22,"1,946.60","1,968.40","1,941.80",1944.3,"1,944.30",163
8-Apr-22,"1,928.80","1,947.70","1,928.80",1941.6,"1,941.60",153
7-Apr-22,"1,919.50","1,934.80","1,919.50",1933.8,"1,933.80",311
6-Apr-22,"1,916.70","1,931.80","1,916.70",1918.4,"1,918.40",138
5-Apr-22,"1,927.10","1,943.50","1,918.40",1922.9,"1,922.90",412
4-Apr-22,"1,921.20","1,936.10","1,915.60",1929.2,"1,929.20",371
1-Apr-22,"1,935.00","1,938.00","1,917.00",1919.1,"1,919.10","1,016"
31-Mar-22,"1,933.50","1,949.90","1,919.10",1949.2,"1,949.20","3,617"
30-Mar-22,"1,918.40","1,937.00","1,914.50",1933.5,"1,933.50","17,765"
29-Mar-22,"1,893.50","1,912.00","1,893.50",1912,"1,912.00","128,051"
28-Mar-22,"1,932.60","1,939.60","1,932.60",1939.6,"1,939.60",7
25-Mar-22,"1,953.80","1,953.80","1,953.80",1953.8,"1,953.80",83
24-Mar-22,"1,963.60","1,964.00","1,961.60",1961.6,"1,961.60",8
23-Mar-22,"1,936.60","1,936.60","1,936.60",1936.6,"1,936.60",204
22-Mar-22,"1,920.70","1,920.70","1,920.70",1920.7,"1,920.70",26
21-Mar-22,"1,925.40","1,928.60","1,925.00",1928.6,"1,928.60",5
18-Mar-22,"1,934.50","1,939.30","1,928.20",1928.2,"1,928.20",28
17-Mar-22,"1,933.90","1,947.20","1,933.90",1942.1,"1,942.10",39
16-Mar-22,"1,922.40","1,922.40","1,907.20",1908,"1,908.00",104
15-Mar-22,"1,939.80","1,939.90","1,910.70",1928.5,"1,928.50",71
14-Mar-22,"1,976.50","1,977.70","1,959.60",1959.6,"1,959.60",145
11-Mar-22,"1,985.00","1,996.00","1,959.90",1982.7,"1,982.70",865
10-Mar-22,"1,978.10","2,010.50","1,978.10",1998.1,"1,998.10",670
9-Mar-22,"2,053.60","2,063.00","1,980.80",1985.9,"1,985.90","1,022"
8-Mar-22,"1,999.40","2,072.00","1,998.00",2040.1,"2,040.10","1,813"
